国家,学校分类,排名,成立年份,州省,title,学生人数,性质,城市,网址,rank,宗教信仰
美国,6%*(5),90*(4),公立，男女合校,科罗拉多州,科罗拉多大学博尔德分校 ,3.18Km2，市区*(2),点亮心光,博尔德,中北部学院及学校协会（NCACS）,40,1876*(2)
美国,全国性大学,54*(3),1870*(2),俄亥俄州,俄亥俄州立大学 ,"58,663",公立，男女合校,哥伦布,www.osu.edu,42,无
澳大利亚,五星级大学,ERA：3*(2),1909年*(3),昆士兰州,昆士兰大学 ,"48,804*(3)",公立，男女合校,布里斯班,www.uq.edu.au,41,无
德国,14.4%(2012年)*(4),,1472年*(1),,慕尼黑大学 ,"48,938(2012年)*(4)",公立，男女合校,慕尼黑,精英大学欧洲研究型大学联盟（LERU）,36,无
英国,综合性大学,QS世界：5(16)；Times国内：27,1829年（其最古老的医学院成立于1550年）*(1),英格兰,伦敦大学国王学院 ,"27,645（含全日制与非全日制）*(2)",公立，男女合校,伦敦,www.kcl.ac.u,37,无
美国,1:17*(3),USNEWS：69*(3),1851,明尼苏达州,明尼苏达大学双城分校 ,,公立，男女合校*(4),明尼阿波利斯、圣保罗,美国大学协会(AAU)*(1),38,
美国,1:13*(3),30*(2),1789*(1),北卡罗来纳州,北卡罗来纳大学教堂山分校 ,,公立，男女合校*(3),教堂山,美国大学协会（AAU）公立常春藤（Public Ivy）北卡罗来纳大学系统*(1),33,无
美国,全国性大学,18*(2),1853,密苏里州,圣路易斯华盛顿大学 ,"12,951（不含Part-time）",私立，男女合校,圣路易斯,中北部学院及学校协会（NCACS）*(4),32,无
澳大利亚,五星级大学,ERA：2*(2),1850年*(3),新南威尔士州,悉尼大学 ,"51,394*(3)",公立，男女合校,悉尼,www.sydney.edu.au,34,无
美国,"13,954*(4)",USNEWS：37*(3),1839,马萨诸塞州,波士顿大学 ,,私立，男女合校*(4),波士顿,全国性大学,35,
美国,全国性大学,37*(2),1891*(1),加利福尼亚州,加州大学圣塔芭芭拉分校 ,"23,497",公立，男女合校,圣塔芭芭拉,www.ucsb.edu,28,无
