马萨诸塞州,2,"6,804*(7)","4,527*(7)",麻省理工学院 ,剑桥,www.mit.edu,美国
city,postgraduate_num,website,rank,country,state,name,undergraduate_num
剑桥（马萨诸塞州）,"≈14,500*(3)",www.harvard.edu,1,美国,马萨诸塞州,哈佛大学 ,"≈6,700*(3)"
牛津,"全日制7,515；非全日制1,735*(3)",www.ox.ac.uk,5,英国,英格兰,牛津大学 ,"全日制11,380；非全日制5,275*(3)"
伯克利,"10,708*(5)",www.berkeley.edu,4,美国,加利福尼亚州,加州大学伯克利分校 ,"27,496 *(5)"
斯坦福,"9,771*(3)",www.stanford.edu,3,美国,加利福尼亚州,斯坦福大学 ,"6,999*(3)"
剑桥,"6,804*(7)",www.mit.edu,2,美国,马萨诸塞州,麻省理工学院 ,"4,527*(7)"
country,rank,state,name,postgraduate_num,city,website,undergraduate_num
美国,1,马萨诸塞州,哈佛大学 ,"≈14,500*(3)",剑桥（马萨诸塞州）,www.harvard.edu,"≈6,700*(3)"
英国,5,英格兰,牛津大学 ,"全日制7,515；非全日制1,735*(3)",牛津,www.ox.ac.uk,"全日制11,380；非全日制5,275*(3)"
美国,4,加利福尼亚州,加州大学伯克利分校 ,"10,708*(5)",伯克利,www.berkeley.edu,"27,496 *(5)"
美国,3,加利福尼亚州,斯坦福大学 ,"9,771*(3)",斯坦福,www.stanford.edu,"6,999*(3)"
美国,2,马萨诸塞州,麻省理工学院 ,"6,804*(7)",剑桥,www.mit.edu,"4,527*(7)"
postgraduate_num,website,name,city,undergraduate_num,rank,country,state
"≈14,500*(3)",www.harvard.edu,哈佛大学 ,剑桥（马萨诸塞州）,"≈6,700*(3)",1,美国,马萨诸塞州
"18,308*(3)",www.unimelb.edu.au,墨尔本大学 ,墨尔本,"22,146*(3)",25,澳大利亚,维多利亚州
"7,589*(3)",www.cornell.edu,康奈尔大学 ,伊萨卡,"14,315*(3)",23,美国,纽约州
"全日制9,750；非全日制3,260*(2)",www.ucl.ac.uk,伦敦大学学院 ,伦敦,"全日制14,625；非全日制785*(2)",22,英国,英格兰
"11,669*(3)",www.upenn.edu,宾夕法尼亚大学 ,费城,"9,726*(3)",19,美国,宾夕法尼亚州
"全日制5,895；非全日制1,445*(2)",www.imperial.ac.uk,帝国理工学院 ,伦敦,"全日制8,885；非全日制0*(2)",17,英国,英格兰
"26,590 *(5)",西部学校及学院协会（WASC）,加州大学圣地亚哥分校 ,拉霍亚,"33,735",16,美国,加利福尼亚州
"5,844*(3)",中北部学院及学校协会（NCACS）,芝加哥大学 ,伊利诺伊州,"12,962",14,3,美国
"13,716*(3)",www.ucla.edu,加州大学洛杉矶分校 ,洛杉矶,"29,585*(3)",13,美国,加利福尼亚州
"6,853*(6)",www.yale.edu,耶鲁大学 ,纽黑文,"5,532*(6)",12,美国,康涅狄格州
"31,063*(3)",西北学院及大学认证委员会（NWCCU）*(3),华盛顿大学 ,华盛顿州,"45,408",11,56*(2),美国
"2,736*(3)",www.princeton.edu,普林斯顿大学 ,普林斯顿,"5,402*(3)",9,美国,新泽西州
"全日制6,485；非全日制935*(3)",www.cam.ac.uk,剑桥大学 ,剑桥,"全日制11,865；非全日制290*(3)",7,英国,英格兰
"1,254*(7)",www.caltech.edu,加州理工学院 ,帕萨迪纳,"1,001*(7)",6,美国,加利福尼亚州
"全日制7,515；非全日制1,735*(3)",www.ox.ac.uk,牛津大学 ,牛津,"全日制11,380；非全日制5,275*(3)",5,英国,英格兰
"10,708*(5)",www.berkeley.edu,加州大学伯克利分校 ,伯克利,"27,496 *(5)",4,美国,加利福尼亚州
"9,771*(3)",www.stanford.edu,斯坦福大学 ,斯坦福,"6,999*(3)",3,美国,加利福尼亚州
"6,804*(7)",www.mit.edu,麻省理工学院 ,剑桥,"4,527*(7)",2,美国,马萨诸塞州
state,city,rank,country,undergraduate_num,website,postgraduate_num,name
马萨诸塞州,剑桥（马萨诸塞州）,1,美国,"≈6,700*(3)",www.harvard.edu,"≈14,500*(3)",哈佛大学 
维多利亚州,墨尔本,25,澳大利亚,"22,146*(3)",www.unimelb.edu.au,"18,308*(3)",墨尔本大学 
纽约州,伊萨卡,23,美国,"14,315*(3)",www.cornell.edu,"7,589*(3)",康奈尔大学 
英格兰,伦敦,22,英国,"全日制14,625；非全日制785*(2)",www.ucl.ac.uk,"全日制9,750；非全日制3,260*(2)",伦敦大学学院 
宾夕法尼亚州,费城,19,美国,"9,726*(3)",www.upenn.edu,"11,669*(3)",宾夕法尼亚大学 
英格兰,伦敦,17,英国,"全日制8,885；非全日制0*(2)",www.imperial.ac.uk,"全日制5,895；非全日制1,445*(2)",帝国理工学院 
加利福尼亚州,拉霍亚,16,美国,"33,735",西部学校及学院协会（WASC）,"26,590 *(5)",加州大学圣地亚哥分校 
美国,伊利诺伊州,14,3,"12,962",中北部学院及学校协会（NCACS）,"5,844*(3)",芝加哥大学 
加利福尼亚州,洛杉矶,13,美国,"29,585*(3)",www.ucla.edu,"13,716*(3)",加州大学洛杉矶分校 
康涅狄格州,纽黑文,12,美国,"5,532*(6)",www.yale.edu,"6,853*(6)",耶鲁大学 
美国,华盛顿州,11,56*(2),"45,408",西北学院及大学认证委员会（NWCCU）*(3),"31,063*(3)",华盛顿大学 
新泽西州,普林斯顿,9,美国,"5,402*(3)",www.princeton.edu,"2,736*(3)",普林斯顿大学 
英格兰,剑桥,7,英国,"全日制11,865；非全日制290*(3)",www.cam.ac.uk,"全日制6,485；非全日制935*(3)",剑桥大学 
加利福尼亚州,帕萨迪纳,6,美国,"1,001*(7)",www.caltech.edu,"1,254*(7)",加州理工学院 
英格兰,牛津,5,英国,"全日制11,380；非全日制5,275*(3)",www.ox.ac.uk,"全日制7,515；非全日制1,735*(3)",牛津大学 
加利福尼亚州,伯克利,4,美国,"27,496 *(5)",www.berkeley.edu,"10,708*(5)",加州大学伯克利分校 
加利福尼亚州,斯坦福,3,美国,"6,999*(3)",www.stanford.edu,"9,771*(3)",斯坦福大学 
马萨诸塞州,剑桥,2,美国,"4,527*(7)",www.mit.edu,"6,804*(7)",麻省理工学院 
country,name,city,rank,website,undergraduate_num,postgraduate_num,state
美国,斯坦福大学 ,斯坦福,3,www.stanford.edu,"6,999*(3)","9,771*(3)",加利福尼亚州
美国,加州理工学院 ,帕萨迪纳,6,www.caltech.edu,"1,001*(7)","1,254*(7)",加利福尼亚州
美国,普林斯顿大学 ,普林斯顿,9,www.princeton.edu,"5,402*(3)","2,736*(3)",新泽西州
美国,哈佛大学 ,剑桥（马萨诸塞州）,1,www.harvard.edu,"≈6,700*(3)","≈14,500*(3)",马萨诸塞州
美国,麻省理工学院 ,剑桥,2,www.mit.edu,"4,527*(7)","6,804*(7)",马萨诸塞州
英国,牛津大学 ,牛津,5,www.ox.ac.uk,"全日制11,380；非全日制5,275*(3)","全日制7,515；非全日制1,735*(3)",英格兰
美国,加州大学伯克利分校 ,伯克利,4,www.berkeley.edu,"27,496 *(5)","10,708*(5)",加利福尼亚州
英国,剑桥大学 ,剑桥,7,www.cam.ac.uk,"全日制11,865；非全日制290*(3)","全日制6,485；非全日制935*(3)",英格兰
undergraduate_num,rank,country,name,state,website,city,postgraduate_num
,20,加拿大,多伦多大学 ,安大略,www.utoronto.ca,多伦多,
,15,美国,加州大学旧金山分校 ,加利福尼亚州,www.ucsf.edu,旧金山,
"5,532*(6)",12,美国,耶鲁大学 ,康涅狄格州,www.yale.edu,纽黑文,"6,853*(6)"
"33,735",16,美国,加州大学圣地亚哥分校 ,加利福尼亚州,西部学校及学院协会（WASC）,拉霍亚,"26,590 *(5)"
"全日制8,885；非全日制0*(2)",17,英国,帝国理工学院 ,英格兰,www.imperial.ac.uk,伦敦,"全日制5,895；非全日制1,445*(2)"
"29,585*(3)",13,美国,加州大学洛杉矶分校 ,加利福尼亚州,www.ucla.edu,洛杉矶,"13,716*(3)"
12.86km2，市区,18,美国,密歇根大学安娜堡分校 ,密歇根州,本科：6.9%*(7),安娜堡,
"5,402*(3)",9,美国,普林斯顿大学 ,新泽西州,www.princeton.edu,普林斯顿,"2,736*(3)"
"1,001*(7)",6,美国,加州理工学院 ,加利福尼亚州,www.caltech.edu,帕萨迪纳,"1,254*(7)"
"13,004",10,美国,约翰霍普金斯大学 ,马里兰州,美国大学协会(AAU)*(3)隐藏常春藤,巴尔的摩,
"45,408",11,56*(2),华盛顿大学 ,美国,西北学院及大学认证委员会（NWCCU）*(3),华盛顿州,"31,063*(3)"
"≈6,700*(3)",1,美国,哈佛大学 ,马萨诸塞州,www.harvard.edu,剑桥（马萨诸塞州）,"≈14,500*(3)"
"全日制11,380；非全日制5,275*(3)",5,英国,牛津大学 ,英格兰,www.ox.ac.uk,牛津,"全日制7,515；非全日制1,735*(3)"
"30,304*(3)",8,美国,哥伦比亚大学 ,纽约州,常春藤盟校美国大学协会（AAU）*(1),纽约市,
"27,496 *(5)",4,美国,加州大学伯克利分校 ,加利福尼亚州,www.berkeley.edu,伯克利,"10,708*(5)"
"4,527*(7)",2,美国,麻省理工学院 ,马萨诸塞州,www.mit.edu,剑桥,"6,804*(7)"
"6,999*(3)",3,美国,斯坦福大学 ,加利福尼亚州,www.stanford.edu,斯坦福,"9,771*(3)"
"全日制11,865；非全日制290*(3)",7,英国,剑桥大学 ,英格兰,www.cam.ac.uk,剑桥,"全日制6,485；非全日制935*(3)"
